"user_id","dish","dish_type","category","ingredient_1","ingredient_2","ingredient_3","rating"
"U1001","Chicken Seekh Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",2
"U1014","Hyderabadi Keema","Lunch and Dinner","Non-Vegeterian","mutton"," spices",NULL,2
"U1088","Chicken Majestic","Lunch and Dinner","Non-Vegeterian","chicken"," butter"," flour",1
"U1088","Veg Pakora","Lunch and Dinner","Vegetarian","vegetables"," flour ",NULL,2
"U1014","Moong daal Halwa","Lunch and Dinner","Vegetarian","sweet"," dal"," ghee",2
"U1014","Chicken Pulao","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,2
"U1088","Chocolate Brownie","Lunch and Dinner","Vegetarian","sweet"," chocolate"," milk",3
"U1014","Butter Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," butter",2
"U1014","Chicken Drum Sticks","Lunch and Dinner","Non-Vegeterian","chicken"," butter"," flour",4
"U1014","Pepper Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",5
"U1088","Veg Manchurian","Lunch and Dinner","Vegetarian","vegetables"," corn flour"," sauce",5
"U1088","Chicken Tandoori","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," lemon",2
"U1088","Mughlai Chicken Handi","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," ghee",5
"U1014","Gulab Jamun","Lunch and Dinner","Vegetarian","sweet"," milk"," ghee",1
"U1014","Mango Kuzhambu","Lunch and Dinner","Vegetarian","mango",NULL,NULL,2
"U1088","Chicken Pepperoni Piza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",5
"U1088","Ginger Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",3
"U1088","Pepper Garlic Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," vegetables ",2
"U1014","Plain Naan","Lunch and Dinner","Vegetarian","flour",NULL,NULL,1
"U1088","Mix Veg Curry","Lunch and Dinner","Vegetarian","vegetables"," spices",NULL,4
"U1088","Chocolate Milkshake","Lunch and Dinner","Vegetarian","milk"," chocolate"," sweet",1
"U1088","Fish Biryani","Lunch and Dinner","Non-Vegeterian","fish"," rice",NULL,4
"U1014","Haryali Paneer Tikka","Lunch and Dinner","Vegetarian","paneer","yogurt"," spices",2
"U1014","Mutton Biryani","Lunch and Dinner","Non-Vegeterian","rice"," mutton",NULL,1
"U1056","Mutton RR","Lunch and Dinner","Non-Vegeterian","mutton"," pasta"," sauce",4
"U1056","Chicken Pakora","Lunch and Dinner","Non-Vegeterian","chicken"," rice flour"," spices",3
"U1056","Chicken 65","Lunch and Dinner","Non-Vegeterian","chicken"," rice flour"," spices",2
"U1056","Chicken Korma","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",2
"U1056","Chicken Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,4
"U1056","Paneer Butter Masala","Lunch and Dinner","Vegetarian","paneer"," spices"," cream",3
"U1056","Plain Roti","Lunch and Dinner","Vegetarian","flour"," water",NULL,3
"U1056","Golden Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",5
"U1056","Veg Dum Biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,1
"U1056","Lacha Paratha","Lunch and Dinner","Vegetarian","flour"," ghee",NULL,2
"U1134","Murgh Lasooni Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," cream"," spices",1
"U1134","Mixed Non-Veg Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," vegetables"," egg",2
"U1134","Arachu Vitta Sambar","Lunch and Dinner","Vegetarian","vegetables"," dal"," sambar powder ",2
"U1134","Plain Naan","Lunch and Dinner","Vegetarian","flour",NULL,NULL,2
"U1134","Mutton Awadhi Kabab","Lunch and Dinner","Non-Vegeterian","mutton"," papaya"," spices",2
"U1134","Chilli Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",3
"U1134","Chicken Manchurian","Lunch and Dinner","Non-Vegeterian","chicken"," sauce"," corn flour",4
"U1134","Mutton Fry","Lunch and Dinner","Non-Vegeterian","mutton"," spices",NULL,1
"U1134","Barbeque Chicken with Breast","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,2
"U1134","Chicken Kheema Balls Pizza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",2
"U1134","Mango Kuzhambu","Lunch and Dinner","Vegetarian","mango",NULL,NULL,4
"U1134","Lemon Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," lemon"," spices",2
"U1134","Mutton Cutlet","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," potato",1
"U1134","Chicken Korma","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",3
"U1106","Prawns Fry","Lunch and Dinner","Non-Vegeterian","fish"," prawns"," yogurt",5
"U1126","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,3
"U1106","Kadaai Paneer","Lunch and Dinner","Vegetarian","paneer"," vegetables"," spices",4
"U1126","Kadaai Paneer","Lunch and Dinner","Vegetarian","paneer"," vegetables"," spices",1
"U1126","Lacha Paratha","Lunch and Dinner","Vegetarian","flour"," ghee",NULL,1
"U1106","Pepper Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",5
"U1126","Chilli Potatoes","Lunch and Dinner","Vegetarian","potato"," sauce"," cornflour",1
"U1126","Prawns Biryani","Lunch and Dinner","Non-Vegeterian","rice"," prawns",NULL,4
"U1126","Plain Roti","Lunch and Dinner","Vegetarian","flour"," water",NULL,1
"U1126","Margarita Pizza","Lunch and Dinner","Vegetarian","pizza"," cheese",NULL,2
"U1126","Jeera Rice","Lunch and Dinner","Vegetarian","rice",NULL,NULL,4
"U1126","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,2
"U1126","Veg Pulao","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,3
"U1044","Chicken Tandoori","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," lemon",2
"U1124","Chicken Manchurian","Lunch and Dinner","Non-Vegeterian","chicken"," sauce"," corn flour",3
"U1044","Farm Fresh Pizza","Lunch and Dinner","Vegetarian","pizza"," vegetables"," cheese",3
"U1124","Hyderabadi Keema","Lunch and Dinner","Non-Vegeterian","mutton"," spices",NULL,5
"U1124","Fish Biryani","Lunch and Dinner","Non-Vegeterian","fish"," rice",NULL,3
"U1124","Chicken 65","Lunch and Dinner","Non-Vegeterian","chicken"," rice flour"," spices",2
"U1124","Mix-Veg Fried Rice","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,1
"U1124","Lassi","Lunch and Dinner","Vegetarian","milk"," sweet"," curd",1
"U1124","Plain Rice","Lunch and Dinner","Vegetarian","rice",NULL,NULL,2
